"Date","Visitor","Home","Away_final_score","Home_final_score","Moneyline_away","Moneyline_home","Opening_spread","Closing_spread","Opening_total","Closing_total","Away_spread_Open","Home_spread_Open","Away_spread_Close","Home_spread_Close","2H_spread","2H_total"
2007-09-06,"NewOrleans","Indianapolis",10,41,-240,200,5.5,5.5,50.5,52.5,"- 5.5","+ 5.5","- 5.5","+ 5.5",3.5,24.5
2007-09-09,"KansasCity","HoustonTexans",3,20,-200,170,0,3,38.5,37.5,"- 0","+ 0","- 3","+ 3",0,17
2007-09-09,"Denver","Buffalo",15,14,150,-170,3,3,37,38.5,"+ 3","- 3","+ 3","- 3",3,17.5
2007-09-09,"Pittsburgh","Cleveland",34,7,195,-235,4.5,5,37.5,36,"+ 4.5","- 4.5","+ 5","- 5",0,16
2007-09-09,"Tennessee","Jacksonville",13,10,-350,290,6.5,7.5,37.5,39.5,"- 6.5","+ 6.5","- 7.5","+ 7.5",3,19
2007-09-09,"Carolina","St.Louis",27,13,-125,105,1,2.5,43,43,"- 1","+ 1","- 2.5","+ 2.5",0,21
2007-09-09,"Philadelphia","GreenBay",13,16,160,-190,3,3,43,41.5,"+ 3","- 3","+ 3","- 3",3.5,21
2007-09-09,"Atlanta","Minnesota",3,24,-170,150,2.5,3,36,34,"- 2.5","+ 2.5","- 3","+ 3",0,17
2007-09-09,"Miami","Washington",13,16,-175,155,3,3,36,34,"- 3","+ 3","- 3","+ 3",0,17
2007-09-09,"NewEngland","NYJets",38,14,220,-260,6.5,6,40.5,41.5,"+ 6.5","- 6.5","+ 6","- 6",3,21
2007-09-09,"TampaBay","Seattle",6,20,-275,235,6,6,41,41,"- 6","+ 6","- 6","+ 6",3,20
2007-09-09,"Chicago","SanDiego",3,14,-325,275,6.5,7,43,43,"- 6.5","+ 6.5","- 7","+ 7",6,20
2007-09-09,"Detroit","Oakland",36,21,-160,140,2.5,2.5,39,39.5,"- 2.5","+ 2.5","- 2.5","+ 2.5",2.5,18
2007-09-09,"NYGiants","Dallas",35,45,-270,230,4,6.5,44,43.5,"- 4","+ 4","- 6.5","+ 6.5",3.5,23
2007-09-10,"Baltimore","Cincinnati",20,27,-145,125,3,3,40,40,"- 3","+ 3","- 3","+ 3",0,19.5
2007-09-10,"Arizona","SanFrancisco",17,20,-200,170,3,3.5,47,47,"- 3","+ 3","- 3.5","+ 3.5",2.5,22.5
2007-09-16,"Buffalo","Pittsburgh",3,26,-500,400,7.5,10,37,40,"- 7.5","+ 7.5","- 10","+ 10",5,17
2007-09-16,"Cincinnati","Cleveland",45,51,285,-335,6,7,41.5,41.5,"+ 6","- 6","+ 7","- 7",6,24
2007-09-16,"Indianapolis","Tennessee",22,20,265,-315,7,6.5,47,45,"+ 7","- 7","+ 6.5","- 6.5",3,22
2007-09-16,"HoustonTexans","Carolina",34,21,-290,240,6,6.5,37.5,38,"- 6","+ 6","- 6.5","+ 6.5",4.5,20
2007-09-16,"SanFrancisco","St.Louis",17,16,-160,140,3,3,45,44,"- 3","+ 3","- 3","+ 3",0,20.5
2007-09-16,"GreenBay","NYGiants",35,13,-155,135,1.5,3,38,39.5,"- 1.5","+ 1.5","- 3","+ 3",0,20
2007-09-16,"Atlanta","Jacksonville",7,13,-525,425,10,10,35,34.5,"- 10","+ 10","- 10","+ 10",7,17
2007-09-16,"NewOrleans","TampaBay",14,31,220,-260,3,5.5,42,41,"+ 3","- 3","+ 5.5","- 5.5",4.5,20
