Date,Visitor,Home,Away_final_score,Home_final_score,Moneyline_away,Moneyline_home,Opening_spread,Closing_spread,Opening_total,Closing_total,Away_spread_Open,Home_spread_Open,Away_spread_Close,Home_spread_Close,2H_spread,2H_total
2017-09-07,KansasCity,NewEngland,42,27,-480,371,7.0,8.0,48.0,47.5,-7.0,7.0,-8.0,8.0,4.5,25.5
2017-09-10,NYJets,Buffalo,12,21,-400,317,6.0,7.0,43.0,42.0,-6.0,6.0,-7.0,7.0,5.0,21.0
2017-09-10,Atlanta,Chicago,23,17,259,-319,7.0,6.5,50.5,48.0,7.0,-7.0,6.5,-6.5,4.5,24.0
2017-09-10,Jacksonville,Houston,29,7,-250,207,4.5,6.0,42.0,38.0,-4.5,4.5,-6.0,6.0,6.0,19.5
2017-09-10,Philadelphia,Washington,30,17,110,-130,3.0,2.0,48.5,49.0,3.0,-3.0,2.0,-2.0,1.0,24.5
2017-09-10,Arizona,Detroit,23,35,110,-130,2.5,2.0,48.0,48.5,2.5,-2.5,2.0,-2.0,0.5,24.0
2017-09-10,Oakland,Tennessee,26,16,-140,120,1.5,3.0,51.5,50.5,-1.5,1.5,-3.0,3.0,0.5,26.5
2017-09-10,Baltimore,Cincinnati,20,0,-150,130,2.0,2.5,42.5,41.5,-2.0,2.0,-2.5,2.5,3.0,20.5
2017-09-10,Pittsburgh,Cleveland,21,18,384,-500,9.5,10.0,47.5,47.5,9.5,-9.5,10.0,-10.0,5.0,21.5
2017-09-10,Indianapolis,LARams,9,46,-190,163,3.0,3.5,47.0,41.5,-3.0,3.0,-3.5,3.5,0.5,20.0
2017-09-10,Seattle,GreenBay,9,17,-145,125,3.0,2.5,49.0,50.0,-3.0,3.0,-2.5,2.5,4.0,24.0
2017-09-10,Carolina,SanFrancisco,23,3,192,-230,3.5,4.0,48.0,44.5,3.5,-3.5,4.0,-4.0,0.5,21.5
2017-09-10,NYGiants,Dallas,3,19,-281,231,6.5,6.0,49.0,46.0,-6.5,6.5,-6.0,6.0,2.5,23.0
2017-09-11,NewOrleans,Minnesota,19,29,-181,156,3.5,3.0,47.5,47.5,-3.5,3.5,-3.0,3.0,0.5,24.0
2017-09-11,LAChargers,Denver,21,24,-144,124,3.5,3.0,44.0,41.5,-3.5,3.5,-3.0,3.0,0.5,20.5
2017-09-14,Houston,Cincinnati,13,9,-240,199,3.0,5.0,38.5,38.5,-3.0,3.0,-5.0,5.0,4.5,19.5
2017-09-17,Tennessee,Jacksonville,37,16,105,-125,0.0,1.0,43.5,41.0,0.0,0.0,1.0,-1.0,0.5,20.0
2017-09-17,Cleveland,Baltimore,10,24,-375,299,7.0,7.5,41.0,39.5,-7.0,7.0,-7.5,7.5,3.0,19.5
2017-09-17,Buffalo,Carolina,3,9,-261,216,7.0,6.0,42.5,43.5,-7.0,7.0,-6.0,6.0,3.0,20.5
2017-09-17,NewEngland,NewOrleans,36,20,216,-263,4.5,5.5,54.0,54.5,4.5,-4.5,5.5,-5.5,0.5,28.0
2017-09-17,Arizona,Indianapolis,16,13,252,-310,7.5,6.5,44.5,44.0,7.5,-7.5,6.5,-6.5,6.5,22.5
2017-09-17,Philadelphia,KansasCity,20,27,-200,170,4.5,4.0,47.5,46.5,-4.5,4.5,-4.0,4.0,0.5,22.0
2017-09-17,Minnesota,Pittsburgh,9,26,-370,296,7.0,8.0,45.5,43.5,-7.0,7.0,-8.0,8.0,3.0,20.5
2017-09-17,Chicago,TampaBay,7,29,-305,249,6.0,7.0,43.0,44.0,-6.0,6.0,-7.0,7.0,3.0,21.0
2017-09-17,Miami,LAChargers,19,17,-195,166,5.0,3.5,45.5,46.0,-5.0,5.0,-3.5,3.5,0.5,23.0
2017-09-17,NYJets,Oakland,20,45,-1000,664,13.5,14.0,43.5,43.5,-13.5,13.5,-14.0,14.0,6.5,22.5
2017-09-17,Washington,LARams,27,20,-150,130,2.5,3.0,46.0,46.5,-2.5,2.5,-3.0,3.0,3.0,23.5
2017-09-17,Dallas,Denver,17,42,121,-141,1.5,2.5,42.5,43.5,1.5,-1.5,2.5,-2.5,4.0,23.0
2017-09-17,SanFrancisco,Seattle,9,12,-1002,665,13.0,13.5,43.5,41.0,-13.0,13.0,-13.5,13.5,7.0,20.5
2017-09-17,GreenBay,Atlanta,23,34,-180,156,3.0,3.0,53.5,54.5,-3.0,3.0,-3.0,3.0,2.5,27.5
2017-09-18,Detroit,NYGiants,24,10,-170,148,4.5,3.0,43.5,42.5,-4.5,4.5,-3.0,3.0,3.5,21.5
2017-09-21,LARams,SanFrancisco,41,39,128,-148,2.5,3.0,42.0,40.5,2.5,-2.5,3.0,-3.0,0.5,21.0
2017-09-24,Baltimore,Jacksonville,7,44,150,-180,4.0,3.0,40.5,38.0,4.0,-4.0,3.0,-3.0,3.5,19.5
2017-09-24,Cleveland,Indianapolis,28,31,100,-120,2.5,1.0,41.0,42.5,2.5,-2.5,1.0,-1.0,3.0,22.5
2017-09-24,Pittsburgh,Chicago,17,23,275,-350,8.0,7.0,46.0,43.5,8.0,-8.0,7.0,-7.0,7.0,23.5
2017-09-24,Miami,NYJets,6,20,200,-250,6.5,5.5,41.0,43.0,6.5,-6.5,5.5,-5.5,4.0,20.5
2017-09-24,Denver,Buffalo,16,26,160,-190,1.0,3.5,41.0,39.5,1.0,-1.0,3.5,-3.5,3.0,20.5
2017-09-24,Houston,NewEngland,33,36,-1400,800,12.0,13.5,44.0,44.5,-12.0,12.0,-13.5,13.5,7.5,24.0
2017-09-24,NewOrleans,Carolina,34,13,-260,210,6.0,5.5,49.0,46.5,-6.0,6.0,-5.5,5.5,4.0,23.5
2017-09-24,TampaBay,Minnesota,17,34,-110,-110,1.5,0.0,40.5,41.0,1.5,-1.5,0.0,0.0,2.5,21.0
2017-09-24,Atlanta,Detroit,30,26,140,-160,3.0,3.0,49.0,51.0,3.0,-3.0,3.0,-3.0,0.0,26.5
2017-09-24,NYGiants,Philadelphia,24,27,-240,190,5.5,5.0,43.0,42.5,-5.5,5.5,-5.0,5.0,0.0,20.5
2017-09-24,Seattle,Tennessee,27,33,-130,110,1.0,2.0,44.0,41.0,-1.0,1.0,-2.0,2.0,0.0,21.0
2017-09-24,KansasCity,LAChargers,24,10,130,-150,3.5,3.0,45.5,48.0,3.5,-3.5,3.0,-3.0,0.0,23.5
2017-09-24,Cincinnati,GreenBay,24,27,-400,300,9.0,7.0,45.5,48.0,-9.0,9.0,-7.0,7.0,7.0,24.0
2017-09-24,Oakland,Washington,10,27,170,-200,3.5,3.5,53.5,53.5,3.5,-3.5,3.5,-3.5,4.5,26.5
2017-09-25,Dallas,Arizona,28,17,135,-155,3.5,3.0,47.5,46.5,3.5,-3.5,3.0,-3.0,3.0,23.5
2017-09-28,Chicago,GreenBay,14,35,-400,317,7.5,7.0,45.5,44.5,-7.5,7.5,-7.0,7.0,0.5,21.0
2017-10-01,NewOrleans,Miami,20,0,175,-210,2.0,4.0,50.0,52.0,2.0,-2.0,4.0,-4.0,2.5,27.0
2017-10-01,Carolina,NewEngland,33,30,-550,400,8.0,9.5,47.0,48.0,-8.0,8.0,-9.5,9.5,5.5,25.5
2017-10-01,LARams,Dallas,35,30,-260,210,8.0,5.5,46.0,50.5,-8.0,8.0,-5.5,5.5,1.0,25.5
2017-10-01,Detroit,Minnesota,14,7,-150,130,1.0,2.5,43.5,43.0,-1.0,1.0,-2.5,2.5,0.0,21.5
2017-10-01,Tennessee,Houston,14,57,120,-140,1.0,2.5,44.0,43.5,1.0,-1.0,2.5,-2.5,4.0,23.5
2017-10-01,Jacksonville,NYJets,20,23,185,-230,3.5,4.5,40.0,38.5,3.5,-3.5,4.5,-4.5,3.0,19.5
2017-10-01,Cincinnati,Cleveland,31,7,155,-185,4.0,3.0,40.0,41.5,4.0,-4.0,3.0,-3.0,0.0,20.0
2017-10-01,Pittsburgh,Baltimore,26,9,160,-190,2.0,3.5,45.0,42.0,2.0,-2.0,3.5,-3.5,0.0,20.5
2017-10-01,Buffalo,Atlanta,23,17,-440,340,8.0,9.0,49.0,48.0,-8.0,8.0,-9.0,9.0,3.0,23.5
2017-10-01,NYGiants,TampaBay,23,25,-140,120,4.0,2.5,43.5,45.5,-4.0,4.0,-2.5,2.5,0.0,23.5
2017-10-01,Philadelphia,LAChargers,26,24,-130,110,1.0,2.0,46.5,48.0,-1.0,1.0,-2.0,2.0,2.5,24.0
2017-10-01,SanFrancisco,Arizona,15,18,-280,230,7.0,6.5,44.5,43.5,-7.0,7.0,-6.5,6.5,3.5,21.5
2017-10-01,Oakland,Denver,10,16,-210,175,2.5,4.0,47.0,44.0,-2.5,2.5,-4.0,4.0,0.0,21.5
2017-10-01,Indianapolis,Seattle,18,46,-1000,650,13.0,12.5,41.0,41.5,-13.0,13.0,-12.5,12.5,8.0,22.5
2017-10-02,Washington,KansasCity,20,29,-295,241,7.0,6.5,49.0,47.5,-7.0,7.0,-6.5,6.5,6.0,24.0
2017-10-05,NewEngland,TampaBay,19,14,165,-193,4.0,3.5,54.0,54.5,4.0,-4.0,3.5,-3.5,0.5,27.5
2017-10-08,LAChargers,NYGiants,27,22,-180,150,3.0,3.0,43.5,45.5,-3.0,3.0,-3.0,3.0,2.5,22.5
2017-10-08,Buffalo,Cincinnati,16,20,-170,145,1.0,3.0,38.5,39.0,-1.0,1.0,-3.0,3.0,2.5,20.0
2017-10-08,NYJets,Cleveland,17,14,105,-125,1.0,1.5,39.5,41.0,1.0,-1.0,1.5,-1.5,0.0,19.5
2017-10-08,Jacksonville,Pittsburgh,30,9,-360,280,8.5,7.0,44.5,41.5,-8.5,8.5,-7.0,7.0,4.5,20.5
2017-10-08,Tennessee,Miami,10,16,-120,100,3.0,1.0,43.5,41.5,-3.0,3.0,-1.0,1.0,0.0,19.5
2017-10-08,SanFrancisco,Indianapolis,23,26,-120,100,1.5,1.0,43.0,43.5,-1.5,1.5,-1.0,1.0,0.0,21.5
2017-10-08,Arizona,Philadelphia,7,34,-300,240,6.0,6.5,45.5,44.5,-6.0,6.0,-6.5,6.5,0.0,21.0
2017-10-08,Carolina,Detroit,27,24,-130,110,3.0,2.0,43.5,42.0,-3.0,3.0,-2.0,2.0,2.5,22.5
2017-10-08,Seattle,LARams,16,10,-130,110,1.0,2.0,46.0,46.5,-1.0,1.0,-2.0,2.0,2.5,23.5
2017-10-08,Baltimore,Oakland,30,17,-150,130,0.0,3.0,40.0,40.5,0.0,0.0,-3.0,3.0,3.0,20.5
2017-10-08,GreenBay,Dallas,35,31,-140,120,2.5,2.5,53.5,52.5,-2.5,2.5,-2.5,2.5,2.5,27.0
