"Urls","headlines","archiveDate"
"http://web.archive.org/web/20170902013843/http://www.espn.com/nfl","Sources: Browns boot Osweiler as part of cuts","2017-09-02"
"http://web.archive.org/web/20170904022536/http://www.espn.com/nfl","Bucs deal Wilcox to Steelers after adding Ward","2017-09-04"
"http://web.archive.org/web/20170905023521/http://www.espn.com/nfl","Source: Janikowski has declined reworked deal","2017-09-05"
"http://web.archive.org/web/20170906034640/http://www.espn.com/nfl/","Elliott's 6-game ban upheld, but OK for Sunday","2017-09-06"
"http://web.archive.org/web/20170908045356/http://www.espn.com/nfl/","Patriots' Amendola leaves with head injury","2017-09-08"
"http://web.archive.org/web/20170911071912/http://www.espn.com/nfl","Elliott expresses relief, had started to 'lose faith'","2017-09-11"
"http://web.archive.org/web/20170912071857/http://www.espn.com/nfl","Peterson says Payton heeded sideline advice","2017-09-12"
"http://web.archive.org/web/20170913000204/http://www.espn.com/nfl/","Cards re-sign CJ2K with Johnson out months","2017-09-13"
"http://web.archive.org/web/20170914001848/http://www.espn.com/nfl/","Texans' Cushing suspended 10 games for PEDs","2017-09-14"
"http://web.archive.org/web/20170915110142/http://www.espn.com/nfl/","Texans' Watt: Injured finger 'pretty messed up'","2017-09-15"
"http://web.archive.org/web/20170916001045/http://www.espn.com/nfl/","Patriots' Hightower, Amendola out vs. Saints","2017-09-16"
"http://web.archive.org/web/20170917004757/http://www.espn.com/nfl/","NFLPA responds to NFL filing on RB Elliott","2017-09-17"
"http://web.archive.org/web/20170918021129/http://www.espn.com/nfl/","Chargers' Koo struggles; might face competition","2017-09-18"
"http://web.archive.org/web/20170919002829/http://www.espn.com/nfl/","Garrett, Zeke to discuss RB's lack of effort Sun.","2017-09-19"
"http://web.archive.org/web/20170920030548/http://www.espn.com/nfl/","Smith unanimously re-elected as NFLPA's head","2017-09-20"
"http://web.archive.org/web/20170921024809/http://www.espn.com/nfl/","Goodell extension 'getting done,' source says","2017-09-21"
"http://web.archive.org/web/20170922205659/http://www.espn.com/nfl/","'Must-win game' in Week 3? Giants' JPP says so","2017-09-22"
"http://web.archive.org/web/20170923122148/http://www.espn.com:80/nfl","Aaron Hernandez had advanced stages of CTE","2017-09-23"
"http://web.archive.org/web/20170924085615/http://www.espn.com:80/nfl/","Owners respond to Trump's player protest talk","2017-09-24"
"http://web.archive.org/web/20170925141950/http://www.espn.com/nfl/","Source: Steelers surprised by Villanueva move","2017-09-25"
"http://web.archive.org/web/20170926164535/http://www.espn.com/nfl/","Bucs' McCoy to online critics: Come talk to me","2017-09-26"
"http://web.archive.org/web/20170927205343/http://www.espn.com/nfl/","Trump: NFL's biz 'going to hell' without changes","2017-09-27"
"http://web.archive.org/web/20170928222313/http://www.espn.com/nfl/","Lions DT: Father lost work over anthem protest","2017-09-28"
"http://web.archive.org/web/20170929212945/http://www.espn.com/nfl/","Packers' Adams exits hospital after massive hit","2017-09-29"
"http://web.archive.org/web/20170930205353/http://www.espn.com/nfl/","Bears' Trevathan banned 2 games for Adams hit","2017-09-30"
"http://web.archive.org/web/20171001203050/http://www.espn.com/nfl/","Cam holds up clenched fist after historic TD run","2017-10-01"
"http://web.archive.org/web/20171002210352/http://www.espn.com/nfl/","Seahawks LT still in hospital; Carson breaks leg","2017-10-02"
"http://web.archive.org/web/20171003082416/http://www.espn.com/nfl/","Luck to practice this week, avoid big workload","2017-10-03"
"http://web.archive.org/web/20171006000925/http://www.espn.com/nfl/","Patriots TE Gronkowski ruled out vs. Bucs","2017-10-06"
"http://web.archive.org/web/20171007005555/http://www.espn.com/nfl/","Steelers' Brown sorry for sideline outburst","2017-10-07"
"http://web.archive.org/web/20171008011401/http://www.espn.com/nfl/","Source: WR Adams clears protocol, could play","2017-10-08"
"http://web.archive.org/web/20171009021145/http://www.espn.com/nfl/","Pence bails on 49ers-Colts over anthem actions","2017-10-09"
"http://web.archive.org/web/20171010033020/http://www.espn.com/nfl/","Marshall becomes 3rd Giants WR out for season","2017-10-10"
"http://web.archive.org/web/20171011033843/http://www.espn.com/nfl/","Labor union files complaint over Jones, anthem","2017-10-11"
"http://web.archive.org/web/20171012040048/http://www.espn.com/nfl/","Jerry Jones sought bad guy role, source says","2017-10-12"
"http://web.archive.org/web/20171013053226/http://www.espn.com/nfl/","Court restores Dallas RB Elliott's 6-game ban","2017-10-13"
"http://web.archive.org/web/20171014055136/http://www.espn.com/nfl/","NFLPA will ask full panel to rehear Elliott appeal","2017-10-14"
"http://web.archive.org/web/20171015063420/http://www.espn.com/nfl/","NFLPA will ask full panel to rehear Elliott appeal","2017-10-15"
"http://web.archive.org/web/20171016065622/http://www.espn.com/nfl/","Source: WR Bryant seeking trade from Steelers","2017-10-16"
"http://web.archive.org/web/20171017080034/http://www.espn.com/nfl/","Rodgers to have surgery on broken collarbone","2017-10-17"
"http://web.archive.org/web/20171018030123/http://www.espn.com/nfl/","Zeke given 2nd TRO, suspension again on hold","2017-10-18"
"http://web.archive.org/web/20171019091353/http://www.espn.com/nfl/","Luck suffers setback, shut down from throwing","2017-10-19"
"http://web.archive.org/web/20171020063555/http://www.espn.com/nfl/","49ers CEO: Kaepernick isn't being blackballed","2017-10-20"
"http://web.archive.org/web/20171021104354/http://www.espn.com/nfl/","Lynch gets 1-game ban for contact with official","2017-10-21"
"http://web.archive.org/web/20171022113328/http://www.espn.com/nfl/","Sources: Docs think Rodgers throws in 6 weeks","2017-10-22"
"http://web.archive.org/web/20171023001530/http://www.espn.com/nfl/","Palmer has broken arm, could miss season","2017-10-23"
"http://web.archive.org/web/20171024123450/http://www.espn.com/nfl/","Vikings' Sendejo suspended for hit on Wallace","2017-10-24"
"http://web.archive.org/web/20171025061221/http://www.espn.com/nfl/","DE Freeney, 37, agrees to deal with Seahawks","2017-10-25"
"http://web.archive.org/web/20171026003443/http://www.espn.com/nfl/","Steelers bench WR Bryant over social posts","2017-10-26"
"http://web.archive.org/web/20171027075121/http://www.espn.com/nfl/","Ravens' Flacco has concussion after hard hit","2017-10-27"
"http://web.archive.org/web/20171028220004/http://www.espn.com/nfl/","Barr says he responded to Rodgers' 'profanities'","2017-10-28"
"http://web.archive.org/web/20171029205615/http://www.espn.com/nfl/","Majority of Texans players kneel during anthem","2017-10-29"
"http://web.archive.org/web/20171030005215/http://www.espn.com/nfl/","Watson sets record for most TDs in 1st 7 games","2017-10-30"
"http://web.archive.org/web/20171031220335/http://www.espn.com/nfl/","Sources: McCarron trade to Browns falls short","2017-10-31"
"http://web.archive.org/web/20171101195436/http://www.espn.com/nfl/","NFLPA files motion for injunction for Elliott","2017-11-01"
"http://web.archive.org/web/20171102025346/http://www.espn.com/nfl/","Browns' Gordon reinstated on conditional basis","2017-11-02"
"http://web.archive.org/web/20171103060116/http://www.espn.com/nfl/","Source: Watson has season-ending ACL tear","2017-11-03"
"http://web.archive.org/web/20171104082927/http://www.espn.com/nfl/","Source: Owners' cell logs sought in Kap case","2017-11-04"
"http://web.archive.org/web/20171106020228/http://www.espn.com/nfl","Eli streak may be at risk as Giants look ahead","2017-11-06"
"http://web.archive.org/web/20171108002846/http://www.espn.com/nfl/","Dungy: Irsay said Luck injury 'inside his head'","2017-11-08"
"http://web.archive.org/web/20171109001906/http://www.espn.com/nfl/","OTL: Jones threatens to sue NFL over Goodell","2017-11-09"
"http://web.archive.org/web/20171110022843/http://www.espn.com/nfl/","Court denies motion; Elliott suspension back on","2017-11-10"
"http://web.archive.org/web/20171111031654/http://www.espn.com/nfl/","Jerry: Possible lawsuit about Goodell, not Zeke","2017-11-11"
"http://web.archive.org/web/20171112034557/http://www.espn.com/nfl/","Sources: Luck seeking treatment in Europe","2017-11-12"
"http://web.archive.org/web/20171113024912/http://www.espn.com/nfl/","Bridgewater celebrates return with 'tears of joy'","2017-11-13"
"http://web.archive.org/web/20171114044110/http://www.espn.com/nfl/","Raiders break ground with Vegas ceremony","2017-11-14"
"http://web.archive.org/web/20171115054415/http://www.espn.com/nfl/","Goodwin says his wife and faith led him to play","2017-11-15"
"http://web.archive.org/web/20171116014306/http://www.espn.com/nfl/","Vikings stick with QB Keenum over Bridgewater","2017-11-16"
"http://web.archive.org/web/20171117050411/http://www.espn.com/nfl/","Sources: Owners set meeting over Goodell deal","2017-11-17"
"http://web.archive.org/web/20171118005017/http://www.espn.com/nfl/","Jerry Jones sorry for insensitive remark in 2013","2017-11-18"
"http://web.archive.org/web/20171119082109/http://www.espn.com/nfl/","Dolphins waive veteran Maualuga after arrest","2017-11-19"
"http://web.archive.org/web/20171120082649/http://www.espn.com/nfl/","Jerry Jones: NFL rift not affecting team's play","2017-11-20"
"http://web.archive.org/web/20171121084118/http://www.espn.com/nfl/","Report: NFL nixes Jones' call for Goodell vote","2017-11-21"
"http://web.archive.org/web/20171123030705/http://www.espn.com/nfl/","Free-agent CB Revis signs contract with Chiefs","2017-11-23"
"http://web.archive.org/web/20171124024322/http://www.espn.com/nfl/","Lions' Stafford plays on despite being injured","2017-11-24"
"http://web.archive.org/web/20171125112257/http://www.espn.com/nfl/","Panthers TE Olsen to make IR return vs. Jets","2017-11-25"
"http://web.archive.org/web/20171126050731/http://www.espn.com:80/nfl/","Source: Revis won't play, likely to debut vs. NYJ","2017-11-26"
"http://web.archive.org/web/20171127035148/http://espn.com/NFL","Cowboys part ways with veteran RB McFadden","2017-11-27"
"http://web.archive.org/web/20171129194508/http://www.espn.com/nfl/","Players at odds over NFL's $100M charity plan","2017-11-29"
"http://web.archive.org/web/20171201045553/http://www.espn.com/nfl/","Dez breaks Hayes' Dallas record for TD catches","2017-12-01"
"http://web.archive.org/web/20171204134154/http://www.espn.com/nfl/","Geno Smith backs McAdoo, calls Rex 'coward'","2017-12-04"
"http://web.archive.org/web/20171206013424/http://www.espn.com/nfl/","Shazier undergoes tests, stays in Cincy hospital","2017-12-06"
"http://web.archive.org/web/20171207002144/http://www.espn.com/nfl/","Source: Goodell signs deal worth up to $200M","2017-12-07"
"http://web.archive.org/web/20171208004640/http://www.espn.com/nfl/","Steelers' Shazier has surgery to stabilize spine","2017-12-08"
"http://web.archive.org/web/20171209011024/http://www.espn.com/nfl/","Sources: Feds halt massive NFL survivor pool","2017-12-09"
"http://web.archive.org/web/20171210015008/http://www.espn.com/nfl/","Brady apologizes to McDaniels for sideline rant","2017-12-10"
